Datetime,Water Level (m)
2023-01-05 18:00:00,-0.090251885
2023-01-05 19:00:00,-0.10256442
2023-01-05 20:00:00,-0.110137
2023-01-05 21:00:00,-0.11138196
2023-01-05 22:00:00,-0.10666723
2023-01-05 23:00:00,-0.09780381
2023-01-06 00:00:00,-0.08813272
2023-01-06 01:00:00,-0.08102512
2023-01-06 02:00:00,-0.07955711
2023-01-06 03:00:00,-0.08281923
2023-01-06 04:00:00,-0.08954352
2023-01-06 05:00:00,-0.09877823
2023-01-06 06:00:00,-0.110138826
2023-01-06 07:00:00,-0.122494474
2023-01-06 08:00:00,-0.13341169
2023-01-06 09:00:00,-0.14013566
2023-01-06 10:00:00,-0.14176457
2023-01-06 11:00:00,-0.13945892
2023-01-06 12:00:00,-0.13600723
2023-01-06 13:00:00,-0.13565777
2023-01-06 14:00:00,-0.13958058
2023-01-06 15:00:00,-0.1466422
2023-01-06 16:00:00,-0.15634657
2023-01-06 17:00:00,-0.16794899
2023-01-06 18:00:00,-0.1813967
2023-01-06 19:00:00,-0.19411843
2023-01-06 20:00:00,-0.20358768
2023-01-06 21:00:00,-0.20694433
2023-01-06 22:00:00,-0.20361197
2023-01-06 23:00:00,-0.19422403
2023-01-07 00:00:00,-0.1815972
2023-01-07 01:00:00,-0.169444
2023-01-07 02:00:00,-0.16153795
2023-01-07 03:00:00,-0.15900503
2023-01-07 04:00:00,-0.16122766
2023-01-07 05:00:00,-0.16667028
2023-01-07 06:00:00,-0.17475429
2023-01-07 07:00:00,-0.18448094
2023-01-07 08:00:00,-0.19404429
2023-01-07 09:00:00,-0.20040274
2023-01-07 10:00:00,-0.20139
2023-01-07 11:00:00,-0.1972495
2023-01-07 12:00:00,-0.18982138
2023-01-07 13:00:00,-0.1834005
2023-01-07 14:00:00,-0.18127635
2023-01-07 15:00:00,-0.18331996
2023-01-07 16:00:00,-0.18855117
2023-01-07 17:00:00,-0.19635272
2023-01-07 18:00:00,-0.20624866
2023-01-07 19:00:00,-0.21730606
2023-01-07 20:00:00,-0.22698218
2023-01-07 21:00:00,-0.23154172
2023-01-07 22:00:00,-0.22932248
2023-01-07 23:00:00,-0.22003706
2023-01-08 00:00:00,-0.20508702
2023-01-08 01:00:00,-0.1889973
2023-01-08 02:00:00,-0.17517301
2023-01-08 03:00:00,-0.16645162
2023-01-08 04:00:00,-0.16327867
2023-01-08 05:00:00,-0.16473798
2023-01-08 06:00:00,-0.16955794
2023-01-08 07:00:00,-0.17692728
2023-01-08 08:00:00,-0.18547647
2023-01-08 09:00:00,-0.19229414
2023-01-08 10:00:00,-0.194326
2023-01-08 11:00:00,-0.19063453
2023-01-08 12:00:00,-0.18244956
2023-01-08 13:00:00,-0.17308235
2023-01-08 14:00:00,-0.16599797
2023-01-08 15:00:00,-0.16379926
2023-01-08 16:00:00,-0.1656855
2023-01-08 17:00:00,-0.17058052
2023-01-08 18:00:00,-0.17803077
2023-01-08 19:00:00,-0.18742764
2023-01-08 20:00:00,-0.19726603
2023-01-08 21:00:00,-0.20429015
2023-01-08 22:00:00,-0.2052976
2023-01-08 23:00:00,-0.19889927
2023-01-09 00:00:00,-0.1848557
2023-01-09 01:00:00,-0.16815002
2023-01-09 02:00:00,-0.15216735
2023-01-09 03:00:00,-0.1403988
2023-01-09 04:00:00,-0.13449861
2023-01-09 05:00:00,-0.13377361
2023-01-09 06:00:00,-0.137174
2023-01-09 07:00:00,-0.1435169
2023-01-09 08:00:00,-0.15185732
2023-01-09 09:00:00,-0.16042015
2023-01-09 10:00:00,-0.16577876
2023-01-09 11:00:00,-0.16552365
